Provincia;Canton;Parroquia;Urbana;Rural;Textbox17;Textbox6;Textbox7;Textbox18
AZUAY;CAMILO PONCE ENRIQUEZ;CAMILO PONCE ENRIQUEZ;7;0;7;20,658;5,148;25,806
AZUAY;CHORDELEG;CHORDELEG;28;0;28;20,658;5,148;25,806
AZUAY;CUENCA;BAÑOS;148;15;163;20,658;5,148;25,806
AZUAY;CUENCA;BELLAVISTA;19;0;19;20,658;5,148;25,806
AZUAY;CUENCA;EL BATAN;32;0;32;20,658;5,148;25,806
AZUAY;CUENCA;EL SAGRARIO;53;0;53;20,658;5,148;25,806
AZUAY;CUENCA;GIL RAMIREZ DAVALOS;46;0;46;20,658;5,148;25,806
AZUAY;CUENCA;MACHANGARA;47;0;47;20,658;5,148;25,806
AZUAY;CUENCA;MONAY;45;0;45;20,658;5,148;25,806
AZUAY;CUENCA;NULTI;0;66;66;20,658;5,148;25,806
AZUAY;CUENCA;RICAURTE;0;174;174;20,658;5,148;25,806
AZUAY;CUENCA;SAN SEBASTIAN;280;16;296;20,658;5,148;25,806
AZUAY;CUENCA;SAYAUSI;0;63;63;20,658;5,148;25,806
AZUAY;CUENCA;SUCRE;77;0;77;20,658;5,148;25,806
AZUAY;CUENCA;TOTORACOCHA;15;0;15;20,658;5,148;25,806
AZUAY;CUENCA;YANUNCAY;86;0;86;20,658;5,148;25,806
AZUAY;GUALACEO;GUALACEO;62;0;62;20,658;5,148;25,806
AZUAY;PAUTE;EL CABO;19;0;19;20,658;5,148;25,806
AZUAY;PAUTE;PAUTE;33;0;33;20,658;5,148;25,806
AZUAY;SANTA ISABEL;SANTA ISABEL (CHAGUARURCO);25;0;25;20,658;5,148;25,806
BOLIVAR;GUARANDA;GABRIEL IGNACIO VEINTIMILLA;107;0;107;20,658;5,148;25,806
CAÑAR;AZOGUES;AZOGUES;120;0;120;20,658;5,148;25,806
CAÑAR;AZOGUES;SAN FRANCISCO;30;0;30;20,658;5,148;25,806
CAÑAR;CAÑAR;CAÑAR;0;117;117;20,658;5,148;25,806
CAÑAR;CAÑAR;INGAPIRCA;0;24;24;20,658;5,148;25,806
CAÑAR;CAÑAR;ZHUD;0;23;23;20,658;5,148;25,806
CAÑAR;EL TAMBO;EL TAMBO;16;0;16;20,658;5,148;25,806
CAÑAR;LA TRONCAL;LA TRONCAL;58;0;58;20,658;5,148;25,806
CAÑAR;SUSCAL;SUSCAL;0;29;29;20,658;5,148;25,806
