URI_Name;Provincia;Cantón;Parroquia;Latitud;Longitud;Nombre;Dirección;Tipo;Régimen Escolar;Modalidad;Jornada Laboral;DocentesFemenino;DocentesMasculino;TotalDocentes;TotalAdministrativos;EstudiantesFemenino;EstudiantesMasculino;Total_Alumnos
COLEGIODEBACHILLERATO2DEAGOSTO;Loja_Province;ESPINDOLA;ELAIRO;-4,471945949890;-79,386668819200;COLEGIO DE BACHILLERATO  2 DE AGOSTO;   BARRIO LA HUACA;FiscalHighSchool;Costa;Presencial;Matutina;7;3;10;2;63;81;144
COLEGIODEBACHILLERATOAGUSTINCURIPOMA;Loja_Province;LOJA;GUALEL;-3,770003862500;-79,379971896200;COLEGIO DE BACHILLERATO  AGUSTIN CURIPOMA;   PARROQUIA GUALEL;FiscalHighSchool;Sierra;Presencial;Matutina;2;6;8;2;52;25;77
COLEGIODEBACHILLERATOLATINGUE;Loja_Province;OLMEDO;LATINGUE;-3,910695867130;-79,582107878900;COLEGIO DE BACHILLERATO  LA TINGUE;   PARROQUIA LA TINGUE;FiscalHighSchool;Costa;Presencial;Matutina;5;3;8;2;44;45;89
COLEGIODEBACHILLERATOLICMIGUELANTOLIANOSALINASJARAMILLO;Loja_Province;QUILANGA;SANANTONIODELASARADAS;-4,364194784370;-79,398694738700;COLEGIO DE BACHILLERATO  LIC  MIGUEL ANTOLIANO SALINAS JARAMILLO;   PROLONGACION DE LA ESCALINATA DEL PARQUE CENTRAL;FiscalHighSchool;Costa;Presencial;Matutina;6;4;10;4;40;55;95
COLEGIODEBACHILLERATOPIOJARAMILLOALVARADO;Loja_Province;LOJA;SANSEBASTIAN;-4,003418747970;-79,202045971500;COLEGIO DE BACHILLERATO  PIO JARAMILLO ALVARADO;BOLIVAR 1479 CATACOCHA Y LOURDES ;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina,Nocturno;47;20;67;5;974;201;1175
COLEGIODEBACHILLERATOQUILANGA;Loja_Province;QUILANGA;QUILANGA;-4,294694892540;-79,401912704800;COLEGIO DE BACHILLERATO  QUILANGA;   BARRIO SANN ROQUE;FiscalHighSchool;Costa;Presencial;Matutina;10;12;22;5;165;178;343
COLEGIODEBACHILLERATO12DEDICIEMBRE;Loja_Province;CELICA;CELICA;-4,104940523070;-79,953472429000;COLEGIO DE BACHILLERATO 12 DE DICIEMBRE;CALLE COLON VIA A GUACHAMA 300 CALLE LOJA ;FiscalHighSchool;Costa;Presencial;Matutina,Nocturno;8;13;21;6;94;130;224
COLEGIODEBACHILLERATO14DEOCTUBRE;Loja_Province;CALVAS;ELLUCERO;-4,400078925150;-79,463218443700;COLEGIO DE BACHILLERATO 14 DE OCTUBRE;   AVENIDA ESPINDOLA  PARROQUIA EL LUCERO;FiscalHighSchool;Costa;Presencial;Matutina;3;7;10;5;89;93;182
COLEGIODEBACHILLERATO18DENOVIEMBRE;Loja_Province;SOZORANGA;SOZORANGA;-4,327111640320;-79,789751354400;COLEGIO DE BACHILLERATO 18 DE NOVIEMBRE;   BARRIO SAN VICENTE;FiscalHighSchool;Costa;Presencial;Matutina,Nocturno;13;11;24;5;102;116;218
COLEGIODEBACHILLERATO27DEFEBRERO;Loja_Province;LOJA;SANSEBASTIAN;-4,014502600020;-79,205164246900;COLEGIO DE BACHILLERATO 27 DE FEBRERO;PABLO PALACIO 21-51 JHON F  KENNEDY ;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina;50;27;77;9;572;576;1148
COLEGIODEBACHILLERATO30DESEPTIEMBRE;Loja_Province;GONZANAMA;PURUNUMA(EGUIGUREN);-4,210332743210;-79,372803646400;COLEGIO DE BACHILLERATO 30 DE SEPTIEMBRE;   TRECE DE SEPTIEMBRE;FiscalHighSchool;Costa;Presencial;Matutina;5;5;10;2;34;48;82
COLEGIODEBACHILLERATO8DEDICIEMBRE;Loja_Province;CATAMAYO;SANPEDRODELABENDITA;-3,944030198130;-79,435001710400;COLEGIO DE BACHILLERATO 8 DE DICIEMBRE;   LOCALIDAD SAN PEDRO DE LA BENDITA;FiscalHighSchool;Sierra;Presencial;Matutina;13;8;21;2;161;202;363
COLEGIODEBACHILLERATOABDONCALDERONMUnOZ;Loja_Province;LOJA;SANTIAGO;-3,790059873590;-79,285336326200;COLEGIO DE BACHILLERATO ABDON CALDERON MUÑOZ;   AVENIDA AMADEO AGUIRRE;FiscalHighSchool;Sierra;Presencial;Matutina;5;4;9;2;62;61;123
COLEGIODEBACHILLERATOADOLFOVALAREZO;Loja_Province;LOJA;SUCRE;-3,993026503360;-79,209163824400;COLEGIO DE BACHILLERATO ADOLFO VALAREZO;CARLOS ROMAN HINOSTROZA  ADOLFO VALAREZO Y  MANUEL CARRION PINZANO ;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina;54;22;76;8;714;1073;1787
COLEGIODEBACHILLERATOBALBINAMORENO;Loja_Province;GONZANAMA;GONZANAMA;-4,229190570490;-79,435529619400;COLEGIO DE BACHILLERATO BALBINA MORENO;24 DE MAYO  CALLE BOLIVAR ;FiscomitionalHighSchool;Costa;Presencial;Matutina;7;7;14;2;106;86;192
COLEGIODEBACHILLERATOBEATRIZCUEVADEAYORA;Loja_Province;LOJA;ELSAGRARIO;-3,996337201380;-79,197334273800;COLEGIO DE BACHILLERATO BEATRIZ CUEVA DE AYORA;ORILLAS DEL ZAMORA 07-90 10 DE AGOSTO ;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina;86;34;120;10;189;473;2363
COLEGIODEBACHILLERATOCARLOSGARBAYMONTESDEOCA;Loja_Province;PUYANGO;MERCADILLO;-4,023968316620;-79,976194265700;COLEGIO DE BACHILLERATO CARLOS GARBAY MONTESDEOCA;   PARROQUIA MERCADILLO - VIA SAN JOSE;FiscalHighSchool;Costa;Presencial;Matutina;3;8;11;3;72;90;162
COLEGIODEBACHILLERATOCHAGUARPAMBA;Loja_Province;CHAGUARPAMBA;CHAGUARPAMBA;-3,847751497550;-79,679279685800;COLEGIO DE BACHILLERATO CHAGUARPAMBA;   BARRIO LA UNION;FiscalHighSchool;Costa;Presencial;Matutina;7;9;16;6;134;155;289
